Index,Actor
1,KBS
2,KBS노동조합
3,SBS
4,TBS
5,TV조선
6,YTN
7,검찰청
8,경제정의실천시민연합
9,경향신문
10,과학기술정보방송통신위원회
11,교수-기타a
12,교수-기타b
13,교수-기타c
14,교수-법학a
15,교수-법학b
16,교수-법학c
17,교수-법학d
18,교수-법학e
19,교수-법학f
20,교수-법학g
21,교수-법학h
22,교수-법학i
23,교수-법학j
24,교수-법학k
25,교수-법학l
26,교수-법학m
27,교수-법학n
28,교수-언론학a
29,교수-언론학aa
30,교수-언론학ab
31,교수-언론학ac
32,교수-언론학ad
33,교수-언론학b
34,교수-언론학c
35,교수-언론학d
36,교수-언론학e
37,교수-언론학f
38,교수-언론학g
39,교수-언론학h
40,교수-언론학i
41,교수-언론학j
42,교수-언론학k
43,교수-언론학l
44,교수-언론학n
45,교수-언론학o
46,교수-언론학p
47,교수-언론학q
48,교수-언론학r
49,교수-언론학s
50,교수-언론학t
51,교수-언론학u
52,교수-언론학v
53,교수-언론학w
54,교수-언론학x
55,교수-언론학y
56,교수-언론학z
57,국무총리·비서실
58,의원D-a
59,의원D-b
60,국민의힘
61,의원C-a
62,의원C-b
63,의원C-c
64,의원C-d
65,의원C-e
66,의원C-f
67,의원C-g
68,의원C-h
69,의원C-i
70,국제언론인협회
71,국회입법조사처
72,기타a
73,기타b
74,기타c
75,기타d
76,기타e
77,기타f
78,기타g
79,기타h
80,기타i
81,기타j
82,기타k
83,기타l
84,기타m
85,기타n
86,기타o
87,깨어있는시민연대당
88,뉴스타파
89,뉴스톱
90,더불어민주당
91,의원A-a
92,의원A-aa
93,의원A-ab
94,의원A-ac
95,의원A-ad
96,의원A-ae
97,의원A-af
98,의원A-ag
99,의원A-ah
100,의원A-ai
101,의원A-aj
102,의원A-b
103,의원A-c
104,의원A-d
105,의원A-e
106,의원A-f
107,의원A-g
108,의원A-h
109,의원A-i
110,의원A-j
111,의원A-k
112,의원A-l
113,의원A-n
114,의원A-o
115,의원A-p
116,의원A-q
117,의원A-r
118,의원A-s
119,의원A-t
120,의원A-u
121,의원A-v
122,의원A-w
123,의원A-x
124,의원A-y
125,의원A-z
126,더브리핑
127,동아일보
128,매일경제
129,매일신문
130,머니투데이
131,문화사회연구소
132,문화일보
133,문화체육관광부
134,미디어오늘
135,민생경제연구소
136,민생당a
137,민주노총
138,민주사회를위한변호사모임
139,민주언론시민연합
140,방송기자연합회
141,방송문화진흥회
142,방송통신위원회
143,법무부
144,법조 언론인클럽
145,변호사a
146,변호사b
147,변호사c
148,변호사d
149,변호사e
150,변호사f
151,변호사g
152,변호사h
153,변호사i
154,변호사j
155,변호사k
156,변호사l
157,변호사m
158,변호사n
159,변호사o
160,변호사p
161,변호사q
162,변호사r
163,부산환경운동연합
164,서울신문
165,수원시민신문
166,언론개혁시민연대
167,언론인권센터
168,언론중재위원회
169,연합뉴스
170,열린민주당
171,의원B-a
172,의원B-b
173,의원B-c
174,의원B-d
175,의원B-e
176,오마이뉴스
177,오픈넷
178,인천광역시청
179,전국언론노동조합
180,정의당
181,조국백서추진위원회
182,조선일보
183,조선자유언론수호투쟁위원회
184,중도일보
185,중앙일보
186,참여연대
187,채널A
188,청와대
189,판사a
190,판사b
191,평화나무
192,한겨레
193,한국PD연합회
194,한국경제
195,한국기자협회
196,한국소비자연맹
197,한국신문방송편집인협회
198,한국신문협회
199,한국언론진흥재단
200,한국형사정책연구원
201,헌법재판소
